Graph,Cluster
9,0
23,0
24,0
30,0
31,0
32,0
34,0
63,0
13,1
17,1
18,1
20,1
21,1
22,1
27,1
42,1
43,1
47,1
48,1
52,1
55,1
59,1
60,1
61,1
67,1
71,1
78,1
80,1
82,1
84,1
85,1
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
10,2
11,2
12,2
14,2
15,2
16,2
25,2
26,2
28,2
29,2
33,2
35,2
36,2
37,2
39,2
41,2
44,2
45,2
46,2
49,2
50,2
51,2
53,2
54,2
56,2
57,2
58,2
64,2
65,2
66,2
68,2
69,2
70,2
72,2
73,2
75,2
76,2
77,2
79,2
81,2
83,2
86,2
19,3
38,3
40,3
62,3
74,3
