Graph,Cluster
4,0
8,0
10,0
15,0
20,0
23,0
27,0
30,0
31,0
32,0
46,0
60,0
63,0
72,0
77,0
81,0
2,1
11,1
29,1
37,1
44,1
65,1
7,2
45,2
0,3
1,3
3,3
5,3
6,3
9,3
12,3
13,3
14,3
16,3
17,3
18,3
19,3
21,3
22,3
24,3
25,3
26,3
28,3
33,3
34,3
35,3
36,3
38,3
39,3
40,3
41,3
42,3
43,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
61,3
62,3
64,3
66,3
67,3
68,3
69,3
70,3
71,3
73,3
74,3
75,3
76,3
78,3
79,3
80,3
82,3
83,3
84,3
85,3
86,3
