Graph,Cluster
13,0
70,0
79,0
86,0
0,1
1,1
2,1
3,1
5,1
6,1
7,1
12,1
14,1
16,1
17,1
18,1
19,1
25,1
26,1
28,1
29,1
33,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
45,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
62,1
64,1
65,1
66,1
67,1
68,1
71,1
73,1
74,1
75,1
76,1
78,1
83,1
84,1
85,1
9,2
21,2
22,2
23,2
24,2
27,2
30,2
31,2
34,2
60,2
61,2
63,2
69,2
80,2
82,2
4,3
8,3
10,3
11,3
15,3
20,3
32,3
44,3
46,3
72,3
77,3
81,3
