Query-Datei;Ähnlichkeiten;Case-Datei
data/json/graph_6370.json;1.0;data/json/graph_6370.json
;0.6840289266686563;data/json/graph_6395.json
;0.6706637580912248;data/json/graph_6455.json
;0.666983983430553;data/json/graph_6379.json
;0.6536315804363895;data/json/graph_6385.json
;0.6489834126245677;data/json/graph_6462.json
;0.6453068853251854;data/json/graph_6417.json
;0.639591254308625;data/json/graph_6447.json
;0.6249387142561185;data/json/graph_6466.json
;0.6164480729846897;data/json/graph_6384.json
;0.6099090662228293;data/json/graph_6401.json
;0.6075536956779113;data/json/graph_6413.json
;0.589237244926622;data/json/graph_6468.json
;0.5819123311473566;data/json/graph_6388.json
;0.5721671332465087;data/json/graph_6422.json
;0.5683336322882939;data/json/graph_6464.json
;0.5657975550790684;data/json/graph_6421.json
;0.559944577471948;data/json/graph_6383.json
;0.5545245969006142;data/json/graph_6394.json
;0.5404726333528439;data/json/graph_6408.json
;0.539237542177924;data/json/graph_6469.json
;0.527793340915022;data/json/graph_6402.json
;0.5267984293185508;data/json/graph_6404.json
;0.511344892332458;data/json/graph_6391.json
;0.5079561484112398;data/json/graph_6454.json
;0.5079237783303989;data/json/graph_6374.json
;0.501545208169234;data/json/graph_6399.json
;0.501377011434436;data/json/graph_6437.json
;0.48949663243986413;data/json/graph_6380.json
;0.48935255029972824;data/json/graph_6382.json
;0.4854709116123714;data/json/graph_6410.json
;0.4853566315261703;data/json/graph_6458.json
;0.4850799869937351;data/json/graph_6453.json
;0.4825783384978886;data/json/graph_6415.json
;0.47389944614809876;data/json/graph_6386.json
;0.4719364248406657;data/json/graph_6426.json
;0.4693253305429837;data/json/graph_6409.json
;0.4684550729116958;data/json/graph_6451.json
;0.46488194624564433;data/json/graph_6400.json
;0.46462274558640254;data/json/graph_6398.json
;0.4605902038626057;data/json/graph_6396.json
;0.45732363506987317;data/json/graph_6446.json
;0.455813585051668;data/json/graph_6429.json
;0.4534657508781123;data/json/graph_6425.json
;0.4516949324026703;data/json/graph_6412.json
;0.451400807743886;data/json/graph_6366.json
;0.4460045106124153;data/json/graph_6456.json
;0.44081435927539475;data/json/graph_6397.json
;0.4354091032565873;data/json/graph_6376.json
;0.43525018643026525;data/json/graph_6403.json
;0.4347560615513237;data/json/graph_6362.json
;0.4250967087539056;data/json/graph_6411.json
;0.41652356944087954;data/json/graph_6445.json
;0.4152307368258095;data/json/graph_6392.json
;0.41376179295073334;data/json/graph_6365.json
;0.4127890189156358;data/json/graph_6364.json
;0.40757020485707784;data/json/graph_6465.json
;0.40566361189968597;data/json/graph_6387.json
;0.40313709166756506;data/json/graph_6470.json
;0.3965925363166431;data/json/graph_6378.json
;0.3941151834929244;data/json/graph_6416.json
;0.3919625609987115;data/json/graph_6436.json
;0.3912256612804531;data/json/graph_6381.json
;0.38758303922645604;data/json/graph_6430.json
;0.38676529760621636;data/json/graph_6405.json
;0.38410997350513704;data/json/graph_6414.json
;0.3826702485079337;data/json/graph_6407.json
;0.3823630693829203;data/json/graph_6442.json
;0.3805939142646866;data/json/graph_6441.json
;0.3803540060529888;data/json/graph_6457.json
;0.3785098777199154;data/json/graph_6424.json
;0.3741458036748879;data/json/graph_6449.json
;0.3727518083185361;data/json/graph_6443.json
;0.369335487013167;data/json/graph_6463.json
;0.367653870402165;data/json/graph_6433.json
;0.3632351560253611;data/json/graph_6467.json
;0.36220755310317543;data/json/graph_6367.json
;0.35450461879122236;data/json/graph_6440.json
;0.3535287437020518;data/json/graph_6393.json
;0.3485501707589222;data/json/graph_6428.json
;0.34795914256255767;data/json/graph_6418.json
;0.34621462629864497;data/json/graph_6419.json
;0.33890779699059703;data/json/graph_6377.json
;0.33887328177609566;data/json/graph_6461.json
;0.3328660057493215;data/json/graph_6450.json
;0.329269607011564;data/json/graph_6438.json
;0.32858998996253547;data/json/graph_6427.json
;0.32586972615758203;data/json/graph_6448.json
;0.3232815317852199;data/json/graph_6439.json
;0.31035608266071674;data/json/graph_6431.json
;0.3074523352004961;data/json/graph_6435.json
;0.3048831404019073;data/json/graph_6368.json
;0.30038350229686395;data/json/graph_6432.json
;0.2937945605076049;data/json/graph_6444.json
;0.2918255263764957;data/json/graph_6434.json
;0.2901139615375574;data/json/graph_6373.json
;0.28624602254948905;data/json/graph_6406.json
;0.28238902707467056;data/json/graph_6390.json
;0.28076437891240946;data/json/graph_6389.json
;0.27805646137922135;data/json/graph_6375.json
;0.2747111001975752;data/json/graph_6361.json
;0.2641474580746048;data/json/graph_6452.json
;0.26078461527765473;data/json/graph_6369.json
;0.25016867640184026;data/json/graph_6423.json
;0.24682209422362053;data/json/graph_6420.json
;0.23860640224535665;data/json/graph_6460.json
;0.21732911548306788;data/json/graph_6459.json
;0.16886948567211857;data/json/graph_6363.json
;0.11910465753179116;data/json/graph_6372.json
;0.11789548936029265;data/json/graph_6371.json
